Train Set,Profitto
"[10, 8, 2, 5, 3, 4, 1]",1.3311178353345219
"[2, 9, 3, 8, 6, 11, 7, 1, 10]",1.3207610684385112
"[3, 11, 7, 0, 10, 8, 1, 6, 2, 5, 4]",1.3027210429219653
"[10, 3, 6, 1, 7, 8, 9]",1.2970973722673171
"[1, 11, 8, 4]",1.28605359004945
"[9, 6, 2]",1.2839563280094863
"[5, 1, 10, 8, 11, 3, 2]",1.2800150301419002
"[7, 4, 8, 2, 3, 11, 6, 9, 10]",1.279274132870804
"[7, 0, 10, 2]",1.2783705060160881
"[3, 6, 9, 4, 5, 8, 11, 2, 7, 1, 10]",1.2780956969290262
"[10, 9, 0, 7, 11, 4, 8, 2]",1.2774349176891957
"[3, 2, 5, 9, 0, 10, 8, 7]",1.2673764732617792
"[9, 8, 5, 2, 4, 1, 10, 11, 0]",1.266816902692433
"[6, 8, 7, 9, 0, 2, 3, 4]",1.255816925976203
"[8, 7, 3, 11, 6, 4, 10, 9, 5, 1]",1.253800721456298
"[6, 7, 10, 9]",1.2534980412861265
"[11, 9]",1.2519048603985796
"[9, 4, 10, 6, 3, 1, 11, 8]",1.251286427434576
"[4, 3, 5, 10, 1, 6, 8, 9, 7]",1.2493650580097049
"[3, 0, 10, 1, 7, 11, 9, 2]",1.24875642518266
"[1, 6, 10, 11, 5, 9, 3]",1.2450854011786971
"[5, 4, 9, 1, 6, 2, 8]",1.2439296416770986
"[7, 8, 3, 6, 5, 4]",1.2436135100601813
"[9, 7, 1, 10, 0, 8, 4, 11, 2, 5]",1.2403954560505235
"[6, 11]",1.2395053561316136
"[11, 6, 1, 0]",1.2384948868620234
"[2, 5, 11]",1.2379619972522484
"[6, 8, 2, 7, 1, 3, 0, 10]",1.237355808587906
"[11, 0, 2, 9, 8, 7, 10, 4, 1, 6, 5]",1.2360098950694254
"[2, 10]",1.235011995347542
"[5, 1, 8, 11, 6, 4, 7, 0]",1.2321241925422866
"[4, 7, 10, 2, 1, 9, 5, 0, 3, 8]",1.2307706273484451
"[1, 6, 9, 3, 2, 8, 5]",1.2269018045064568
"[3, 2, 7, 6, 11, 4, 8, 10, 1]",1.2267711566113204
"[11, 7, 2, 0, 6, 3, 10, 1, 4]",1.2259082823878007
"[7, 11, 8, 2, 10, 4, 1]",1.2249870859737968
"[5, 10, 1]",1.224320774770905
"[7, 8, 4, 5, 3, 9, 0, 1, 2, 11, 6]",1.223540411613638
"[3, 6, 0, 5, 4, 10, 7, 2, 8, 9]",1.222915745435281
"[7, 11, 10, 1, 4, 6]",1.2198387433896254
"[8, 11, 9, 1, 10, 3, 2, 5, 0]",1.2146508301492729
"[7, 3, 6, 0, 11, 5, 9, 1, 2, 8, 10]",1.2144907190177334
"[7, 1, 0, 6, 10, 5, 11, 2]",1.212180648481582
"[5, 1, 9, 0, 2, 7, 11, 6, 8, 4]",1.2098584281788425
"[3, 0, 7, 2, 5, 4, 9, 6, 11]",1.2090611823809077
"[3, 5]",1.2085196940446121
"[5, 9, 1, 3, 8, 0, 6, 4, 2, 7]",1.2077361556041832
"[3, 9, 10, 11, 5, 7, 0, 4]",1.2075310025035755
"[4, 11, 10, 3, 0, 7, 6, 1, 8]",1.2046274060427482
"[2, 1, 11, 3, 5, 6, 8, 4]",1.204182032389496
"[11, 5, 1, 7, 6, 9, 4, 3]",1.2034275654298507
"[8, 4, 1, 5, 0, 9, 6, 11]",1.2020358513554554
"[8, 6, 4, 1, 0]",1.19743043120018
"[2, 7, 5, 10, 3, 6, 0, 11, 1, 9, 4]",1.1970173184892663
"[3, 0, 1, 6, 2, 7]",1.196857786756049
"[3, 8]",1.195252348226075
"[4, 2]",1.1949670568217785
"[4, 8, 7, 0, 10, 11, 9]",1.1941563694499175
"[4, 3, 9, 2, 10, 5, 1]",1.1939461422958335
"[8, 4]",1.1939100485349292
"[2, 0, 3, 5, 7, 11, 8, 1, 6, 10, 9, 4]",1.1930246084949494
"[4, 11, 7, 6]",1.1924165248239675
"[2, 9, 6, 11, 1, 4, 5]",1.1907109778222784
"[3, 0, 7, 10, 9]",1.1887512035290586
"[2, 3, 4, 8, 0, 10, 1, 9, 6]",1.1873266881709488
"[9, 1, 3, 10]",1.1860677138338704
"[10, 2, 9, 3]",1.1853512578379541
"[9, 10, 2, 5, 3]",1.1850483627578452
"[9, 1, 10, 8, 4, 5]",1.181076156361209
"[6, 9, 1, 4, 7, 5, 3, 0, 11, 10]",1.1806879488389763
"[2, 0, 4, 1, 11, 9]",1.179386019083204
"[3, 1, 10, 9, 0, 4]",1.1789810873406663
"[4, 6, 11, 0, 9, 2, 10]",1.1767783566832295
"[4, 11, 6, 2, 0, 10]",1.1750314662034709
"[6, 3, 1, 4]",1.1712126589965597
"[3, 8, 1, 11, 0, 4]",1.1711861563848354
"[0, 7, 6, 2, 3, 4, 1]",1.1592975424052834
"[1, 8]",1.1565815590213695
"[7, 0, 5, 4, 6]",1.1565666643095194
"[3, 9, 8, 1, 4, 5, 6, 7, 2]",1.1557833197639908
"[10, 7, 0, 1, 6, 2]",1.152329270772667
"[3, 9, 4]",1.1497582367979513
"[11, 1]",1.1477609739135113
"[11, 3, 1, 8]",1.1374035913918177
"[4, 9]",1.1355833151837518
"[1, 8, 4, 6, 7, 2, 9]",1.1329214788605735
"[2, 9]",1.129405071844505
"[4, 3, 7, 0]",1.1263015059347388
"[10, 1, 0, 4]",1.1259485743162878
"[1, 9, 11]",1.1135136675675736
"[3, 8, 6]",1.1070464667329125
"[11, 9, 4, 1, 5]",1.1008511937364156
[6],1.0973416606268462
"[0, 1]",1.0933297025822828
[2],1.0868972872878122
"[0, 10, 3]",1.0768453651305878
[3],1.0697229836520439
"[9, 1]",1.0441298088954356
[5],1.0417859207110356
[0],1.0412002233094346
